symbol,effective_from,effective_to,weight,source
ANET,2019-12-31,2099-12-31,.177342535073,SEC-NPORT-2020q1
ANET,2020-03-31,2099-12-31,.201022996606,SEC-NPORT-2020q2
ANET,2020-06-30,2099-12-31,.160116519189,SEC-NPORT-2020q3
ANET,2020-09-30,2099-12-31,.144035135116,SEC-NPORT-2020q4
ANET,2020-12-31,2099-12-31,.180869016749,SEC-NPORT-2021q1
ANET,2021-03-31,2099-12-31,.184914906529,SEC-NPORT-2021q2
ANET,2021-06-30,2099-12-31,.199452645364,SEC-NPORT-2021q3
ANET,2021-09-30,2099-12-31,.190269430175,SEC-NPORT-2021q4
ANET,2021-12-31,2099-12-31,.284059316772,SEC-NPORT-2022q1
ANET,2022-03-31,2099-12-31,.30557238196,SEC-NPORT-2022q2
ANET,2022-06-30,2099-12-31,.247483524438,SEC-NPORT-2022q3
ANET,2022-09-30,2099-12-31,.363261047216,SEC-NPORT-2022q4
ANET,2022-12-31,2099-12-31,.36935650408,SEC-NPORT-2023q1
ANET,2023-03-31,2099-12-31,.547025285668,SEC-NPORT-2023q2
ANET,2023-06-30,2099-12-31,.488125653,SEC-NPORT-2023q3
ANET,2023-09-30,2099-12-31,.578270085579,SEC-NPORT-2023q4
AVGO,2019-09-30,2099-12-31,2.023571711576,SEC-NPORT-2019q4
AVGO,2019-12-31,2099-12-31,2.014921204562,SEC-NPORT-2020q1
AVGO,2020-03-31,2099-12-31,1.72034546076,SEC-NPORT-2020q2
AVGO,2020-06-30,2099-12-31,1.789352083494,SEC-NPORT-2020q3
AVGO,2020-09-30,2099-12-31,1.864901629607,SEC-NPORT-2020q4
AVGO,2020-12-31,2099-12-31,2.023285648956,SEC-NPORT-2021q1
AVGO,2021-03-31,2099-12-31,2.109653693004,SEC-NPORT-2021q2
AVGO,2021-06-30,2099-12-31,1.949082850113,SEC-NPORT-2021q3
AVGO,2021-09-30,2099-12-31,1.966689166145,SEC-NPORT-2021q4
AVGO,2021-12-31,2099-12-31,2.412683579059,SEC-NPORT-2022q1
AVGO,2022-03-31,2099-12-31,2.548115129054,SEC-NPORT-2022q2
AVGO,2022-06-30,2099-12-31,2.326980296373,SEC-NPORT-2022q3
AVGO,2022-09-30,2099-12-31,2.340824204595,SEC-NPORT-2022q4
AVGO,2022-12-31,2099-12-31,2.784672236755,SEC-NPORT-2023q1
AVGO,2023-03-31,2099-12-31,3.529778237643,SEC-NPORT-2023q2
AVGO,2023-06-30,2099-12-31,4.362215363614,SEC-NPORT-2023q3
AVGO,2023-09-30,2099-12-31,4.297452590082,SEC-NPORT-2023q4
BR,2019-09-30,2099-12-31,.261864652771,SEC-NPORT-2019q4
BR,2019-12-31,2099-12-31,.227636540209,SEC-NPORT-2020q1
BR,2020-03-31,2099-12-31,.19885162985,SEC-NPORT-2020q2
BR,2020-06-30,2099-12-31,.205438984395,SEC-NPORT-2020q3
BR,2020-09-30,2099-12-31,.193840336182,SEC-NPORT-2020q4
BR,2020-12-31,2099-12-31,.202611578422,SEC-NPORT-2021q1
BR,2021-03-31,2099-12-31,.197609828936,SEC-NPORT-2021q2
BR,2021-06-30,2099-12-31,.187378301795,SEC-NPORT-2021q3
BR,2021-09-30,2099-12-31,.191363883077,SEC-NPORT-2021q4
BR,2021-12-31,2099-12-31,.187756727564,SEC-NPORT-2022q1
BR,2022-03-31,2099-12-31,.178201941454,SEC-NPORT-2022q2
BR,2022-06-30,2099-12-31,.196026643446,SEC-NPORT-2022q3
BR,2022-09-30,2099-12-31,.220864461552,SEC-NPORT-2022q4
BR,2022-12-31,2099-12-31,.19406416099,SEC-NPORT-2023q1
CDNS,2019-09-30,2099-12-31,.340897260564,SEC-NPORT-2019q4
CDNS,2019-12-31,2099-12-31,.312816573013,SEC-NPORT-2020q1
CDNS,2020-03-31,2099-12-31,.338956640794,SEC-NPORT-2020q2
CDNS,2020-06-30,2099-12-31,.379904265431,SEC-NPORT-2020q3
CDNS,2020-09-30,2099-12-31,.378384898454,SEC-NPORT-2020q4
CDNS,2020-12-31,2099-12-31,.434747264415,SEC-NPORT-2021q1
CDNS,2021-03-31,2099-12-31,.425965105083,SEC-NPORT-2021q2
CDNS,2021-06-30,2099-12-31,.381825524746,SEC-NPORT-2021q3
CDNS,2021-09-30,2099-12-31,.414356442873,SEC-NPORT-2021q4
CDNS,2021-12-31,2099-12-31,.454937610208,SEC-NPORT-2022q1
CDNS,2022-03-31,2099-12-31,.446731422906,SEC-NPORT-2022q2
CDNS,2022-06-30,2099-12-31,.48537293656,SEC-NPORT-2022q3
CDNS,2022-09-30,2099-12-31,.584316869135,SEC-NPORT-2022q4
CDNS,2022-12-31,2099-12-31,.541905651103,SEC-NPORT-2023q1
CDNS,2023-03-31,2099-12-31,.758793398072,SEC-NPORT-2023q2
CDNS,2023-06-30,2099-12-31,.771362526056,SEC-NPORT-2023q3
CDNS,2023-09-30,2099-12-31,.798399717896,SEC-NPORT-2023q4
CRM,2022-06-30,2099-12-31,1.923664456297,SEC-NPORT-2022q3
CRM,2022-09-30,2099-12-31,1.868485949446,SEC-NPORT-2022q4
CRM,2022-12-31,2099-12-31,1.630502178803,SEC-NPORT-2023q1
CRM,2023-03-31,2099-12-31,2.630378411347,SEC-NPORT-2023q2
CRM,2023-06-30,2099-12-31,2.49476564776,SEC-NPORT-2023q3
CRM,2023-09-30,2099-12-31,2.476307314587,SEC-NPORT-2023q4
CSCO,2019-09-30,2099-12-31,3.862426458005,SEC-NPORT-2019q4
CSCO,2019-12-31,2099-12-31,3.270233128174,SEC-NPORT-2020q1
CSCO,2020-03-31,2099-12-31,3.050487960417,SEC-NPORT-2020q2
CSCO,2020-06-30,2099-12-31,2.80488036488,SEC-NPORT-2020q3
CSCO,2020-09-30,2099-12-31,2.12243898858,SEC-NPORT-2020q4
CSCO,2020-12-31,2099-12-31,2.160235973603,SEC-NPORT-2021q1
CSCO,2022-03-31,2099-12-31,2.30493957105,SEC-NPORT-2022q2
CSCO,2022-06-30,2099-12-31,2.078066055418,SEC-NPORT-2022q3
CSCO,2022-09-30,2099-12-31,2.162481464535,SEC-NPORT-2022q4
CSCO,2022-12-31,2099-12-31,2.405456136146,SEC-NPORT-2023q1
CSCO,2023-03-31,2099-12-31,2.827466878662,SEC-NPORT-2023q2
CSCO,2023-06-30,2099-12-31,2.556167675661,SEC-NPORT-2023q3
CSCO,2023-09-30,2099-12-31,2.746693298143,SEC-NPORT-2023q4
CTSH,2019-12-31,2099-12-31,.545847411112,SEC-NPORT-2020q1
CTSH,2020-03-31,2099-12-31,.465442382346,SEC-NPORT-2020q2
CTSH,2020-06-30,2099-12-31,.435563362003,SEC-NPORT-2020q3
CTSH,2020-09-30,2099-12-31,.479109757181,SEC-NPORT-2020q4
CTSH,2020-12-31,2099-12-31,.50054166198,SEC-NPORT-2021q1
CTSH,2021-03-31,2099-12-31,.461996563681,SEC-NPORT-2021q2
CTSH,2021-06-30,2099-12-31,.365680627576,SEC-NPORT-2021q3
CTSH,2021-09-30,2099-12-31,.385577604065,SEC-NPORT-2021q4
CTSH,2021-12-31,2099-12-31,.410497154969,SEC-NPORT-2022q1
CTSH,2022-03-31,2099-12-31,.461606227975,SEC-NPORT-2022q2
CTSH,2022-06-30,2099-12-31,.412646734621,SEC-NPORT-2022q3
CTSH,2022-09-30,2099-12-31,.388281506947,SEC-NPORT-2022q4
CTSH,2022-12-31,2099-12-31,.361426437895,SEC-NPORT-2023q1
CTSH,2023-03-31,2099-12-31,.408331579561,SEC-NPORT-2023q2
CTSH,2023-06-30,2099-12-31,.399592037948,SEC-NPORT-2023q3
CTSH,2023-09-30,2099-12-31,.428929800673,SEC-NPORT-2023q4
DXC,2019-09-30,2099-12-31,.142291929381,SEC-NPORT-2019q4
DXC,2019-12-31,2099-12-31,.154668513838,SEC-NPORT-2020q1
DXC,2020-03-31,2099-12-31,.06111481831,SEC-NPORT-2020q2
DXC,2020-06-30,2099-12-31,.0593315752,SEC-NPORT-2020q3
DXC,2020-09-30,2099-12-31,.057904316837,SEC-NPORT-2020q4
DXC,2020-12-31,2099-12-31,.074841417903,SEC-NPORT-2021q1
DXC,2021-03-31,2099-12-31,.088709394355,SEC-NPORT-2021q2
DXC,2021-06-30,2099-12-31,.099281852654,SEC-NPORT-2021q3
DXC,2021-09-30,2099-12-31,.083692690234,SEC-NPORT-2021q4
DXC,2021-12-31,2099-12-31,.071522181739,SEC-NPORT-2022q1
DXC,2022-03-31,2099-12-31,.078185798482,SEC-NPORT-2022q2
DXC,2022-06-30,2099-12-31,.086887612035,SEC-NPORT-2022q3
DXC,2022-09-30,2099-12-31,.073468275603,SEC-NPORT-2022q4
DXC,2022-12-31,2099-12-31,.074973574458,SEC-NPORT-2023q1
DXC,2023-03-31,2099-12-31,.076618599172,SEC-NPORT-2023q2
DXC,2023-06-30,2099-12-31,.073380377241,SEC-NPORT-2023q3
DXC,2023-09-30,2099-12-31,.053582660075,SEC-NPORT-2023q4
ENPH,2021-03-31,2099-12-31,.233309503675,SEC-NPORT-2021q2
ENPH,2021-06-30,2099-12-31,.249441939584,SEC-NPORT-2021q3
ENPH,2021-09-30,2099-12-31,.19957503957,SEC-NPORT-2021q4
ENPH,2021-12-31,2099-12-31,.217400860093,SEC-NPORT-2022q1
ENPH,2022-03-31,2099-12-31,.264864442957,SEC-NPORT-2022q2
ENPH,2022-06-30,2099-12-31,.309262784035,SEC-NPORT-2022q3
ENPH,2022-09-30,2099-12-31,.49066852925,SEC-NPORT-2022q4
ENPH,2022-12-31,2099-12-31,.442890168764,SEC-NPORT-2023q1
ENPH,2023-03-31,2099-12-31,.376353099866,SEC-NPORT-2023q2
ENPH,2023-06-30,2099-12-31,.276863283603,SEC-NPORT-2023q3
ENPH,2023-09-30,2099-12-31,.205409618204,SEC-NPORT-2023q4
EPAM,2021-12-31,2099-12-31,.333970406524,SEC-NPORT-2022q1
EPAM,2022-03-31,2099-12-31,.164867309558,SEC-NPORT-2022q2
EPAM,2022-06-30,2099-12-31,.197615733971,SEC-NPORT-2022q3
EPAM,2022-09-30,2099-12-31,.271261477022,SEC-NPORT-2022q4
EPAM,2022-12-31,2099-12-31,.23177538035,SEC-NPORT-2023q1
EPAM,2023-03-31,2099-12-31,.226408356613,SEC-NPORT-2023q2
EPAM,2023-06-30,2099-12-31,.156992713694,SEC-NPORT-2023q3
EPAM,2023-09-30,2099-12-31,.185794522387,SEC-NPORT-2023q4
FFIV,2021-12-31,2099-12-31,.130001691422,SEC-NPORT-2022q1
FFIV,2022-03-31,2099-12-31,.124343696272,SEC-NPORT-2022q2
FFIV,2022-06-30,2099-12-31,.108525206631,SEC-NPORT-2022q3
FFIV,2022-09-30,2099-12-31,.112551591609,SEC-NPORT-2022q4
FFIV,2022-12-31,2099-12-31,.105640521742,SEC-NPORT-2023q1
FFIV,2023-03-31,2099-12-31,.115328888217,SEC-NPORT-2023q2
FFIV,2023-06-30,2099-12-31,.106690730252,SEC-NPORT-2023q3
FFIV,2023-09-30,2099-12-31,.119808001366,SEC-NPORT-2023q4
FICO,2023-03-31,2099-12-31,.232675018219,SEC-NPORT-2023q2
FICO,2023-06-30,2099-12-31,.243919537578,SEC-NPORT-2023q3
FICO,2023-09-30,2099-12-31,.270704654827,SEC-NPORT-2023q4
FIS,2019-09-30,2099-12-31,1.499575883395,SEC-NPORT-2019q4
FIS,2019-12-31,2099-12-31,1.373993256926,SEC-NPORT-2020q1
FIS,2020-03-31,2099-12-31,1.367537389526,SEC-NPORT-2020q2
FIS,2020-06-30,2099-12-31,1.174839915083,SEC-NPORT-2020q3
FIS,2020-09-30,2099-12-31,1.160936081186,SEC-NPORT-2020q4
FIS,2020-12-31,2099-12-31,1.002787109418,SEC-NPORT-2021q1
FIS,2021-03-31,2099-12-31,.97343788124,SEC-NPORT-2021q2
FIS,2021-06-30,2099-12-31,.879473158451,SEC-NPORT-2021q3
FIS,2021-09-30,2099-12-31,.742981439748,SEC-NPORT-2021q4
FIS,2021-12-31,2099-12-31,.585497559178,SEC-NPORT-2022q1
FIS,2022-03-31,2099-12-31,.599331207417,SEC-NPORT-2022q2
FIS,2022-06-30,2099-12-31,.656843889748,SEC-NPORT-2022q3
FIS,2022-09-30,2099-12-31,.599838152646,SEC-NPORT-2022q4
FIS,2022-12-31,2099-12-31,.495093311822,SEC-NPORT-2023q1
FISV,2019-09-30,2099-12-31,1.088827115249,SEC-NPORT-2019q4
FISV,2019-12-31,2099-12-31,1.061422940982,SEC-NPORT-2020q1
FISV,2020-03-31,2099-12-31,.992349019352,SEC-NPORT-2020q2
FISV,2020-06-30,2099-12-31,.778512659765,SEC-NPORT-2020q3
FISV,2020-09-30,2099-12-31,.728997741889,SEC-NPORT-2020q4
FISV,2020-12-31,2099-12-31,.74776591016,SEC-NPORT-2021q1
FISV,2021-03-31,2099-12-31,.76385053473,SEC-NPORT-2021q2
FISV,2021-06-30,2099-12-31,.636971294754,SEC-NPORT-2021q3
FISV,2021-09-30,2099-12-31,.639215550882,SEC-NPORT-2021q4
FISV,2021-12-31,2099-12-31,.543282125662,SEC-NPORT-2022q1
FISV,2022-03-31,2099-12-31,.590539987732,SEC-NPORT-2022q2
FISV,2022-06-30,2099-12-31,.60721903726,SEC-NPORT-2022q3
FISV,2022-09-30,2099-12-31,.781299994991,SEC-NPORT-2022q4
FISV,2022-12-31,2099-12-31,.789253357693,SEC-NPORT-2023q1
FSLR,2022-12-31,2099-12-31,.182639460396,SEC-NPORT-2023q1
FSLR,2023-03-31,2099-12-31,.283928096211,SEC-NPORT-2023q2
FSLR,2023-06-30,2099-12-31,.227802849503,SEC-NPORT-2023q3
FSLR,2023-09-30,2099-12-31,.216431380285,SEC-NPORT-2023q4
FTNT,2019-09-30,2099-12-31,.200617822552,SEC-NPORT-2019q4
FTNT,2019-12-31,2099-12-31,.243608475527,SEC-NPORT-2020q1
FTNT,2020-03-31,2099-12-31,.262709642381,SEC-NPORT-2020q2
FTNT,2020-06-30,2099-12-31,.261188291573,SEC-NPORT-2020q3
FTNT,2020-09-30,2099-12-31,.201413837139,SEC-NPORT-2020q4
FTNT,2020-12-31,2099-12-31,.228700190268,SEC-NPORT-2021q1
