sector,quarter,report_date,available_from,accession,issuer_rows,unresolved_rows
XLI,2023q2,2023-03-31,2023-05-30,0001752724-23-124014,77,13
XLRE,2023q2,2023-03-31,2023-05-30,0001752724-23-123965,32,4
XLF,2023q2,2023-03-31,2023-05-30,0001752724-23-123975,75,26
XLK,2023q2,2023-03-31,2023-05-30,0001752724-23-124009,69,13
XLE,2023q2,2023-03-31,2023-05-30,0001752724-23-123993,26,14
XLB,2023q3,2023-06-30,2023-08-28,0001752724-23-196436,32,10
XLF,2023q3,2023-06-30,2023-08-28,0001752724-23-196560,74,25
XLP,2023q3,2023-06-30,2023-08-28,0001752724-23-196434,39,18
XLRE,2023q3,2023-06-30,2023-08-28,0001752724-23-196431,33,4
XLY,2023q3,2023-06-30,2023-08-28,0001752724-23-196579,55,11
XLK,2023q3,2023-06-30,2023-08-28,0001752724-23-196439,68,12
XLE,2023q3,2023-06-30,2023-08-28,0001752724-23-196485,26,14
XLV,2023q3,2023-06-30,2023-08-28,0001752724-23-196581,67,12
XLC,2023q3,2023-06-30,2023-08-28,0001752724-23-196452,24,5
XLU,2023q3,2023-06-30,2023-08-28,0001752724-23-196474,32,8
XLI,2023q3,2023-06-30,2023-08-29,0001752724-23-197690,79,14
XLK,2023q4,2023-09-30,2023-11-27,0001752724-23-267549,68,12
XLV,2023q4,2023-09-30,2023-11-27,0001752724-23-267539,67,11
XLRE,2023q4,2023-09-30,2023-11-27,0001752724-23-267557,33,4
XLI,2023q4,2023-09-30,2023-11-28,0001752724-23-267597,78,12
XLU,2023q4,2023-09-30,2023-11-27,0001752724-23-267565,32,7
XLF,2023q4,2023-09-30,2023-11-28,0001752724-23-267650,74,24
XLE,2023q4,2023-09-30,2023-11-28,0001752724-23-267589,26,14
XLP,2023q4,2023-09-30,2023-11-28,0001752724-23-267619,40,18
XLY,2023q4,2023-09-30,2023-11-28,0001752724-23-267625,54,11
XLC,2023q4,2023-09-30,2023-11-28,0001752724-23-267715,24,5
XLB,2023q4,2023-09-30,2023-11-28,0001752724-23-267624,32,10
